"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","A110101","","A1102","","A1231","","A1406","","A1412","","A1415","","A1416","","A1418","","A1700",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A110101_Total population (Male)[person]","Annotation","A1102_Japanese population (Both sexes)[person]","Annotation","A1231_Median age[age]","Annotation","A1406_Population (0-15, total)[person]","Annotation","A1412_Population (14-19, total)[person]","Annotation","A1415_Population (40 and over, total)[person]","Annotation","A1416_Population (60 and over, total)[person]","Annotation","A1418_Population (80 and over, total)[person]","Annotation","A1700_Foreigners (Total)[person]","Annotation"
"2015100000","2015","26100","Kyoto-fu Kyoto-shi","","699,748","","1,412,924","","45.6","","174,309","","84,951","","836,697","","465,144","","109,807","","34,608",""
"2015100000","2015","26101","Kyoto-fu Kyoto-shi Kita-ku","","56,984","","113,823","","46.6","","13,344","","8,371","","68,306","","38,840","","10,158","","2,339",""
"2015100000","2015","26102","Kyoto-fu Kyoto-shi Kamigyo-ku","","39,212","","79,894","","44.6","","8,135","","5,169","","44,866","","25,688","","7,116","","2,158",""
"2015100000","2015","26103","Kyoto-fu Kyoto-shi Sakyo-ku","","81,338","","159,595","","44.9","","18,659","","10,263","","92,310","","53,166","","13,903","","5,147",""
"2015100000","2015","26104","Kyoto-fu Kyoto-shi Nakagyo-ku","","50,377","","107,342","","44.4","","11,941","","5,607","","60,252","","31,776","","7,951","","1,916",""
"2015100000","2015","26105","Kyoto-fu Kyoto-shi Higashiyama-ku","","16,694","","37,377","","49.8","","3,114","","2,081","","23,140","","14,528","","4,098","","757",""
"2015100000","2015","26106","Kyoto-fu Kyoto-shi Shimogyo-ku","","37,933","","78,160","","42.2","","8,189","","3,315","","42,243","","21,978","","5,646","","1,757",""
"2015100000","2015","26107","Kyoto-fu Kyoto-shi Minami-ku","","49,725","","94,703","","44.7","","12,368","","5,039","","56,380","","30,214","","6,433","","4,913",""
"2015100000","2015","26108","Kyoto-fu Kyoto-shi Ukyo-ku","","96,673","","196,292","","46.3","","24,963","","11,373","","117,717","","64,809","","15,137","","4,676",""
"2015100000","2015","26109","Kyoto-fu Kyoto-shi Fushimi-ku","","134,441","","270,861","","45.9","","35,781","","16,930","","163,145","","90,629","","19,796","","7,119",""
"2015100000","2015","26110","Kyoto-fu Kyoto-shi Yamashina-ku","","64,273","","131,984","","47.1","","16,613","","7,557","","81,374","","46,518","","10,231","","1,722",""
"2015100000","2015","26111","Kyoto-fu Kyoto-shi Nishikyo-ku","","72,098","","142,893","","45.7","","21,202","","9,246","","86,964","","46,998","","9,338","","2,104",""
"2015100000","2015","26201","Kyoto-fu Fukuchiyama-shi","","39,156","","77,894","","47.8","","11,714","","4,474","","47,871","","27,810","","8,039","","729",""
"2015100000","2015","26202","Kyoto-fu Maizuru-shi","","41,694","","82,967","","48.3","","12,228","","5,418","","51,364","","30,715","","8,172","","789",""
"2015100000","2015","26203","Kyoto-fu Ayabe-shi","","16,197","","33,494","","55.3","","4,245","","1,785","","22,963","","14,939","","4,640","","258",""
"2015100000","2015","26204","Kyoto-fu Uji-shi","","89,014","","180,950","","46.5","","26,073","","11,498","","110,092","","61,359","","11,985","","2,106",""
"2015100000","2015","26205","Kyoto-fu Miyazu-shi","","8,726","","18,316","","58.5","","2,049","","941","","13,284","","8,848","","2,812","","105",""
"2015100000","2015","26206","Kyoto-fu Kameoka-shi","","43,267","","88,163","","47.1","","12,737","","5,703","","53,186","","30,083","","5,958","","662",""
"2015100000","2015","26207","Kyoto-fu Joyo-shi","","36,952","","76,242","","49.0","","10,058","","4,357","","48,580","","29,400","","5,297","","488",""
"2015100000","2015","26208","Kyoto-fu Muko-shi","","25,387","","52,895","","46.0","","7,971","","3,178","","32,282","","17,519","","3,461","","400",""
"2015100000","2015","26209","Kyoto-fu Nagaokakyo-shi","","38,789","","79,390","","45.3","","12,030","","4,641","","47,147","","25,326","","5,169","","512",""
"2015100000","2015","26210","Kyoto-fu Yawata-shi","","35,212","","71,936","","47.5","","10,200","","4,044","","44,794","","25,751","","4,577","","656",""
"2015100000","2015","26211","Kyoto-fu Kyotanabe-shi","","34,728","","69,195","","41.8","","11,318","","5,573","","37,256","","19,796","","3,744","","684",""
"2015100000","2015","26212","Kyoto-fu Kyotango-shi","","26,353","","54,711","","54.4","","7,350","","2,967","","37,644","","23,407","","7,093","","339",""
"2015100000","2015","26213","Kyoto-fu Nantan-shi","","16,057","","32,783","","52.5","","3,872","","2,222","","21,005","","13,381","","4,203","","204",""
"2015100000","2015","26214","Kyoto-fu Kizugawa-shi","","34,805","","72,165","","43.3","","13,345","","4,411","","40,501","","21,286","","4,153","","391",""
"2015100000","2015","26303","Kyoto-fu Oyamazaki-cho","","7,385","","15,069","","45.5","","2,265","","872","","8,931","","5,009","","1,076","","98",""
"2015100000","2015","26322","Kyoto-fu Kumiyama-cho","","7,699","","15,252","","47.0","","2,179","","923","","9,444","","5,613","","1,035","","282",""
"2015100000","2015","26343","Kyoto-fu Ide-cho","","3,840","","7,855","","50.7","","925","","473","","5,067","","3,058","","741","","55",""
"2015100000","2015","26344","Kyoto-fu Ujitawara-cho","","4,647","","9,172","","48.1","","1,299","","604","","5,715","","3,199","","694","","142",""
"2015100000","2015","26364","Kyoto-fu Kasagi-cho","","644","","1,363","","63.1","","75","","58","","1,066","","759","","206","","5",""
"2015100000","2015","26365","Kyoto-fu Wazuka-cho","","1,846","","3,946","","60.4","","351","","153","","2,931","","1,999","","482","","10",""
"2015100000","2015","26366","Kyoto-fu Seika-cho","","17,390","","36,176","","44.4","","6,318","","2,846","","20,940","","10,120","","1,826","","198",""
"2015100000","2015","26367","Kyoto-fu Minamiyamashiro-mura","","1,256","","2,626","","61.4","","195","","108","","2,015","","1,393","","336","","12",""
"2015100000","2015","26407","Kyoto-fu Kyotamba-cho","","6,817","","14,341","","58.6","","1,514","","806","","10,348","","6,959","","2,177","","110",""
"2015100000","2015","26463","Kyoto-fu Ine-cho","","1,006","","2,105","","63.0","","170","","76","","1,623","","1,188","","425","","5",""
"2015100000","2015","26465","Kyoto-fu Yosano-cho","","10,357","","21,715","","53.9","","2,952","","1,277","","14,774","","9,122","","2,632","","101",""
