YEAR,AREA,/ITEMS,Total_population,Foreigners
2015,Kyoto-fu Kyoto-shi Kita-ku,,"119,474","2,339"
2015,Kyoto-fu Kyoto-shi Kamigyo-ku,,"85,113","2,158"
2015,Kyoto-fu Kyoto-shi Sakyo-ku,,"168,266","5,147"
2015,Kyoto-fu Kyoto-shi Nakagyo-ku,,"109,341","1,916"
2015,Kyoto-fu Kyoto-shi Higashiyama-ku,,"39,044",757
2015,Kyoto-fu Kyoto-shi Shimogyo-ku,,"82,668","1,757"
2015,Kyoto-fu Kyoto-shi Minami-ku,,"99,927","4,913"
2015,Kyoto-fu Kyoto-shi Ukyo-ku,,"204,262","4,676"
2015,Kyoto-fu Kyoto-shi Fushimi-ku,,"280,655","7,119"
2015,Kyoto-fu Kyoto-shi Yamashina-ku,,"135,471","1,722"
2015,Kyoto-fu Kyoto-shi Nishikyo-ku,,"150,962","2,104"
